                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3869,                 1.8526,                0.99975,                0.89631,                 0.8558,                0.90947,                0.54393,                  1.326,                0.72392,                0.96379,               0.070405,              0.0032883,              0.0032883
                      1,                 1.2577,                0.82209,                 0.9378,                0.89205,                0.89342,                0.92963,                0.55651,                 1.3162,                 0.8328,                0.95513,               0.040078,              0.0062939,              0.0062939
                      2,                  1.267,                0.81292,                0.94087,                0.91392,                0.86834,                0.91145,                0.54137,                  1.344,                0.69478,                 0.9849,              0.0094199,              0.0089694,              0.0089694
                      3,                 1.2981,                0.82189,                0.95042,                0.93335,                 0.8652,                0.91894,                0.54241,                 1.3052,                0.83512,                 0.9859,               0.008515,               0.008515,               0.008515
                      4,                 1.2864,                0.73696,                0.94189,                   0.93,                 0.8558,                 0.9089,                0.52889,                 1.4022,                0.86011,                   1.01,               0.008515,               0.008515,               0.008515
                      5,                 1.2867,                0.71535,                0.93743,                0.93219,                0.86186,                 0.9223,                0.56216,                 1.2511,                0.71292,                0.95287,                0.00802,                0.00802,                0.00802
                      6,                 1.2075,                0.65875,                0.91532,                0.97307,                0.84013,                0.92966,                0.55803,                 1.3282,                0.70396,                0.96549,               0.007525,               0.007525,               0.007525
                      7,                 1.2029,                0.65709,                0.91346,                0.93773,                0.85266,                0.92313,                0.57308,                 1.2527,                0.75872,                0.95458,                0.00703,                0.00703,                0.00703
                      8,                 1.1582,                 0.6209,                0.90282,                0.96501,                 0.8645,                0.93995,                0.60742,                 1.1805,                0.68594,                0.94664,               0.006535,               0.006535,               0.006535
                      9,                 1.1053,                0.58524,                0.89748,                0.91519,                0.86207,                 0.9192,                  0.562,                 1.2221,                0.71562,                0.94305,                0.00604,                0.00604,                0.00604
                     10,                 1.1164,                0.56988,                0.90945,                 0.9591,                0.88216,                0.93898,                0.60762,                 1.1662,                0.59177,                0.93611,               0.005545,               0.005545,               0.005545
                     11,                 1.0884,                0.56276,                0.90127,                0.95077,                0.87461,                0.92632,                 0.5869,                 1.2018,                0.62884,                0.93398,                0.00505,                0.00505,                0.00505
                     12,                 1.0626,                0.54567,                0.90042,                0.94602,                0.89655,                0.93564,                0.58447,                 1.2673,                0.63682,                0.94389,               0.004555,               0.004555,               0.004555
                     13,                 1.0614,                0.53517,                0.88492,                0.97525,                 0.8645,                0.93081,                0.58839,                 1.1904,                   0.62,                0.92642,                0.00406,                0.00406,                0.00406
                     14,                0.99501,                0.50673,                0.87525,                0.95105,                0.89342,                0.93389,                0.60962,                 1.2153,                0.60998,                0.94213,               0.003565,               0.003565,               0.003565
                     15,                0.97107,                0.49108,                0.86736,                0.96012,                0.90282,                0.94586,                0.61266,                 1.1449,                0.56822,                0.91632,                0.00307,                0.00307,                0.00307
                     16,                0.94812,                0.46836,                0.86284,                0.96655,                0.90572,                0.94896,                0.60502,                 1.2162,                0.56004,                0.93976,               0.002575,               0.002575,               0.002575
                     17,                0.92351,                0.45772,                0.85878,                0.94459,                0.90842,                0.94382,                0.58887,                  1.191,                0.56741,                0.92817,                0.00208,                0.00208,                0.00208
                     18,                0.87764,                0.42964,                0.84855,                0.96689,                0.89028,                0.94868,                0.62558,                 1.1773,                0.56175,                0.92207,               0.001585,               0.001585,               0.001585
                     19,                0.84917,                0.41464,                0.84082,                0.95929,                0.90909,                0.95229,                0.62846,                 1.1341,                0.53109,                0.91441,                0.00109,                0.00109,                0.00109
